Age,Income,LoanAmount,CreditScore,LoanTerm,Employment,Default
25,30000,5000,650,12,Salaried,No
35,50000,15000,720,24,Salaried,No
45,25000,20000,580,36,Self,Yes
29,40000,10000,690,12,Salaried,No
52,20000,25000,540,48,Self,Yes
41,60000,30000,750,36,Salaried,No
38,35000,18000,610,24,Self,Yes
31,45000,12000,700,12,Salaried,No
55,22000,27000,520,60,Self,Yes
27,55000,8000,730,12,Salaried,No
33,42000,14000,680,24,Salaried,No
48,28000,22000,570,36,Self,Yes
36,52000,16000,710,24,Salaried,No
44,30000,19000,600,36,Self,Yes
30,48000,9000,720,12,Salaried,No
50,24000,26000,550,48,Self,Yes
39,45000,13000,690,24,Salaried,No
28,35000,11000,640,18,Salaried,No
46,27000,21000,560,36,Self,Yes
34,60000,10000,750,12,Salaried,No
